brand,slug,hq,founded,ownership,us_units,units_as_of,systemwide_sales_usd,auv_usd,unit_growth_pct,sales_growth_pct,comps_pct,cap_rate_mid_pct,csw_score,momentum
"Chick-fil-A","chick-fil-a","Atlanta, GA","1967","Private","2863","YE2025","23918208000","9161000","6.7","5.2","","4.35","74","leader"
"Raising Cane's","raising-canes","Plano, TX","1996","Private — founder Todd Graves, co-CEO","913","YE2025","5480000000","6300000","10.3","10.6","","4.85","65","hot"
"Wingstop","wingstop","Addison, TX","1994","Public","2586","2025-12-27","5300000000","2000000","19.2","12.1","-7.5","6.85","43","split"
"Popeyes Louisiana Kitchen","popeyes","Miami, FL","1972","Public parent","3578","2025-12-31","7789000000","","","-3.3","-5.2","5.8","42","pressured"
"KFC U.S.","kfc","Plano, TX (relocating from Louisville, KY)","1930","Public parent","3523","YE2025","36400000000","","-4","-3","2","6.85","48","turnaround"
"Zaxby's","zaxbys","Athens, GA","1990","Private","1000","Feb 2026","2600000000","2710000","3.2","4.6","","6.85","45","steady"
"Bojangles","bojangles","Charlotte, NC","1977","Private equity owned","860","Late 2025","1881000000","2351000","4.2","","","6.85","46","expanding"
"Church's Texas Chicken","churchs-texas-chicken","Atlanta, GA","1952","Private equity owned","885","Entering 2026","862000000","1138000","1.4","1.8","","6.85","40","stabilizing"
"Dave's Hot Chicken","daves-hot-chicken","Pasadena, CA","2017","Private equity controlled","390","May 2026","","3000000","52.3","51","","6.85","71","rocket"
"Slim Chickens","slim-chickens","Fayetteville, AR","2003","Private","300","2026","570000000","2440000","","23.4","","6.85","54","expanding"
"El Pollo Loco","el-pollo-loco","Costa Mesa, CA","1980","Public","500","FY2025","1125400000","2300000","1.8","","2.1","5.85","59","steady"
"Chicken Salad Chick","chicken-salad-chick","Atlanta, GA","2008","Private equity owned","300","May 2025","394200000","1480000","13","","","6.85","46","growing"
"Golden Chick","golden-chick","Richardson, TX","1967","Private","250","2026","","","9.2","","","6.85","","growing"
"Huey Magoo's","huey-magoos","Orlando, FL","2004","Private","85","YE2025","137000000","","","24.3","","6.85","","growing"
"Layne's Chicken Fingers","laynes-chicken-fingers","Texas","1994","Private","50","Q2 2026","","","110","","","6.85","","rocket"
"Pollo Campero","pollo-campero","Dallas, TX (U.S.)","1971","Private, international parent","140","2025","","","18.6","","","6.85","","growing"
"Krispy Krunchy Chicken","krispy-krunchy-chicken","Louisiana","1989","Private","3500","2024-2025","","","17.3","","","","","growing"
"Bonchon","bonchon","United States operations","2002","Private","140","2025","","","","","","","","growing"
"Houston TX Hot Chicken","houston-tx-hot-chicken","Houston, TX","2020","Private","25","YE2024","","","","","","","","emerging"
"Hooters","hooters","Atlanta, GA","1983","Restructured","","","","","","","","","","distressed"
"Jollibee (U.S.)","jollibee-us","Philippines (parent); U.S. operations","1978","Public parent","","","","","","","","","","mixed"
