brand_id,name,csw_brand_slug,franchisor_legal_name,parent,is_chicken,is_ranked,us_units_latest,fdd_registrant,fiscal_year_end,fdd_years_held,visibility,notes
BR-chick-fil-a,Chick-fil-A,chick-fil-a,,"Chick-fil-A, Inc. (private, family-controlled)",yes,check,2863,,,,public,
BR-raising-canes,Raising Cane's,raising-canes,,"Raising Cane's Restaurants, LLC (private)",yes,check,913,,,,public,
BR-wingstop,Wingstop,wingstop,,Wingstop Inc. (NASDAQ: WING),yes,check,2586,,,,public,
BR-popeyes,Popeyes Louisiana Kitchen,popeyes,,Restaurant Brands International (NYSE: QSR),yes,check,,,,,public,
BR-kfc,KFC U.S.,kfc,,Yum! Brands (NYSE: YUM),yes,check,3523,,,,public,
BR-zaxbys,Zaxby's,zaxbys,,Zaxby's Franchising LLC (private; Goldman Sachs minority investment),yes,check,1000,,,,public,
BR-bojangles,Bojangles,bojangles,,"Bojangles, Inc. (private — Durational Capital Management and The Jordan Company)",yes,check,860,,,,public,
BR-churchs-texas-chicken,Church's Texas Chicken,churchs-texas-chicken,,Church's Texas Chicken (private — High Bluff Capital Partners),yes,check,885,,,,public,
BR-daves-hot-chicken,Dave's Hot Chicken,daves-hot-chicken,,Dave's Hot Chicken (majority owned by Roark Capital),yes,check,390,,,,public,
BR-slim-chickens,Slim Chickens,slim-chickens,,Slim Chickens (private),yes,check,,,,,public,
BR-el-pollo-loco,El Pollo Loco,el-pollo-loco,,El Pollo Loco Holdings (NASDAQ: LOCO),yes,check,511,,,,public,
BR-chicken-salad-chick,Chicken Salad Chick,chicken-salad-chick,,Chicken Salad Chick (private — Brentwood Associates),yes,check,300,,,,public,
BR-golden-chick,Golden Chick,golden-chick,,Golden Chick (private),yes,check,250,,,,public,
BR-huey-magoos,Huey Magoo's,huey-magoos,,Huey Magoo's Chicken Tenders (private),yes,check,85,,,,public,
BR-laynes-chicken-fingers,Layne's Chicken Fingers,laynes-chicken-fingers,,Layne's Chicken Fingers (private),yes,check,50,,,,public,
BR-pollo-campero,Pollo Campero,pollo-campero,,"Campero International (private, Guatemala)",yes,check,140,,,,public,
BR-krispy-krunchy-chicken,Krispy Krunchy Chicken,krispy-krunchy-chicken,,Krispy Krunchy Foods (private),yes,check,3500,,,,public,
BR-bonchon,Bonchon,bonchon,,"Bonchon (private, Korean origin)",yes,no,140,,,,public,
BR-houston-tx-hot-chicken,Houston TX Hot Chicken,houston-tx-hot-chicken,,Houston TX Hot Chicken (private),yes,no,25,,,,public,
BR-hooters,Hooters,hooters,,"Hooters of America (post-Chapter 11, franchisee-owned)",yes,no,,,,,public,
BR-jollibee-us,Jollibee (U.S.),jollibee-us,,Jollibee Foods Corporation (PSE: JFC),yes,no,,,,,public,
BR-chicken-express,Chicken Express,chicken-express,,,yes,no,,,,,public,
