alias_id,alias_text,op_id,source_doc_id,match_method,match_confidence,first_seen,reviewed_by,notes
AL-0001,KBP Brands,OP-0001,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0002,"Sailormen, Inc.",OP-0002,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0003,Pulse Restaurant Group,OP-0003,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0004,RFI Ventures LLC,OP-0004,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0005,Popeyes (RBI corporate operations),OP-0005,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0006,SBH Foods PLK LLC,OP-0006,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0007,61 Biscuits LLC,OP-0007,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0008,Eyas Capital,OP-0008,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0009,BOJ of WNC,OP-0009,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0010,Far West Services,OP-0010,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0011,Guernsey Holdings,OP-0011,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0012,Ampex Brands,OP-0012,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0013,SXThree Restaurant Group,OP-0013,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0014,Korpal Group,OP-0014,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0015,Scottish Food Systems,OP-0015,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0016,Sun Holdings,OP-0016,csw:operators.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0017,Roark Capital,OP-0017,csw:transactions.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0018,Five buyers,OP-0018,csw:transactions.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0019,Two franchisee groups (Tampa- and Chicago-based),OP-0019,csw:transactions.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
AL-0020,Brentwood Associates and Sixth Street,OP-0020,csw:transactions.json,canonical,confirmed,2026-09-02,,Seeded from production CSW data
