op_id,canonical_name,legal_name,csw_company_slug,kind,hq,status,chicken_units_latest,total_units_latest,brands_operated,geography,first_seen,last_seen,in_production_csw,visibility,notes
OP-0001,KBP Brands,,kbp-brands,operator,Kansas,Acquiring,831,1224,KFC; Taco Bell; Arby's; Sonic Drive-In,Midwest; Southeast; Mid-Atlantic; Multi-region,,2026,yes,public,
OP-0002,"Sailormen, Inc.",,sailormen,operator,"Miami, FL",Liquidated (Chapter 11),0,0,Popeyes,Florida; Georgia,,2026,yes,public,
OP-0003,Pulse Restaurant Group,,pulse-restaurant-group,operator,Florida,Newly formed,50,50,Popeyes,Tampa; Tallahassee; Pensacola; Jacksonville,,2026,yes,public,
OP-0004,RFI Ventures LLC,,rfi-ventures,operator,Not disclosed,Acquiring,23,23,Popeyes,"Orlando, FL",,2026,yes,public,
OP-0005,Popeyes (RBI corporate operations),,popeyes-corporate,operator,"Miami, FL",Refranchising candidate,16,16,Popeyes,"Miami, FL",,2026,yes,public,
OP-0006,SBH Foods PLK LLC,,sbh-foods-plk,operator,Not disclosed,Acquiring,5,5,Popeyes,"Savannah, GA",,2026,yes,public,
OP-0007,61 Biscuits LLC,,61-biscuits,operator,Not disclosed,Acquiring,3,3,Popeyes,"West Palm Beach, FL",,2026,yes,public,
OP-0008,Eyas Capital,,eyas-capital,operator,Not disclosed,Actively developing,120,350,Bojangles; Subway; Burger King,North Carolina; Ohio; Six-state Bojangles footprint,,2026,yes,public,
OP-0009,BOJ of WNC,,boj-of-wnc,operator,Western North Carolina,Acquired by Eyas Capital,120,120,Bojangles,Western North Carolina; Six states,,2026,yes,public,
OP-0010,Far West Services,,far-west-services,operator,California,Actively developing,127,127,Wingstop,California; Nevada; Washington; Colorado; Utah,,2026,yes,public,
OP-0011,Guernsey Holdings,,guernsey-holdings,operator,Not disclosed,Acquiring,20,,Zaxby's; Sonic Drive-In; Little Caesars; 7 Brew; Meineke; Take 5 Oil Change,South Carolina,,2026,yes,public,
OP-0012,Ampex Brands,,ampex-brands,operator,"Richardson, TX",Stable / diversifying,,600,KFC; Pizza Hut; Taco Bell; 7-Eleven; Au Bon Pain,Texas; Multi-state,,2026,yes,public,
OP-0013,SXThree Restaurant Group,,sxthree,operator,Central Texas,Actively developing,20,20,Golden Chick,Central Texas; Alabama; Mississippi,,2026,yes,public,
OP-0014,Korpal Group,,korpal-group,operator,Southeast Texas,Actively developing,13,,Golden Chick; Subway,Greater Houston; Beaumont; Southeast Texas,,2026,yes,public,
OP-0015,Scottish Food Systems,,scottish-food-systems,operator,North Carolina,Divesting,,,KFC,North Carolina; South Carolina,,2026,yes,public,
OP-0016,Sun Holdings,,sun-holdings,operator,Texas,Acquiring,,1680,,Texas; Multi-state,,2026,yes,public,
OP-0017,Roark Capital,,,acquirer,,,,,,,,2025-06,no,public,From transactions.json (corporate)
OP-0018,Five buyers,,,acquirer,,,,,,,,2026,no,public,From transactions.json (corporate)
OP-0019,Two franchisee groups (Tampa- and Chicago-based),,,acquirer,,,,,,,,2025,no,public,From transactions.json (corporate)
OP-0020,Brentwood Associates and Sixth Street,,,acquirer,,,,,,,,2023-11,no,public,From transactions.json (corporate)
